Modeled,Actual
12.774935062691451,12.9
12.720706558613845,12.9
11.915649843151607,12.000000000000002
11.810499634932764,11.7
12.4623553844835,11.9
12.942879206785705,12.7
12.83452408235418,12.9
13.99221616938798,14.2
14.050455937834895,14.2
13.197027285320928,12.800000000000002
11.643181155083601,11.199999999999998
10.808778092446595,10.6
11.494278889834195,11.199999999999998
11.021060804382765,11.0
10.94482899871622,10.9
10.214904583299687,10.1
10.395295392912539,9.900000000000002
9.476496091739461,9.0
7.9541016041096055,8.3
8.806359051588508,8.900000000000002
10.891719178590995,10.8
10.318636982798223,10.2
7.315480872028185,7.6000000000000005
6.346442926023957,6.700000000000001
8.576917554581524,8.700000000000001
8.49154137069004,8.6
7.786332206388858,8.100000000000001
9.212384913677887,9.3
10.006869274613132,9.8
9.615798475965395,9.4
9.59171815328898,9.5
10.208476194541989,9.900000000000002
11.125383002244522,10.7
11.542448064477439,11.199999999999998
10.847626541474925,10.9
10.431755386662536,10.2
8.95367351180318,9.0
11.227003857070056,11.199999999999998
10.000783663395652,9.8
8.177006365229,8.100000000000001
5.845206442073092,6.200000000000002
7.180868912481273,7.500000000000001
7.349448222701991,7.500000000000001
9.23923088494809,9.2
7.498823207445183,7.8
7.979598273926697,8.0
6.9702991062840525,7.1
6.170525266679563,6.400000000000002
6.461085337322241,6.700000000000001
6.574710405010833,6.9
7.356988569805654,7.500000000000001
7.905192759009891,8.0
8.642108647944951,8.700000000000001
8.409582791338103,8.400000000000002
7.29671937008582,7.200000000000002
7.556067423660496,7.400000000000002
8.330989951496631,8.2
7.026921128315844,7.3
7.776133088585569,7.9
6.961257882912323,7.1
6.349667134272947,6.600000000000001
7.149021473785569,7.200000000000002
7.952575371100632,7.8
7.297284666832882,7.200000000000002
7.7611736254851875,7.6000000000000005
8.606134919547438,8.400000000000002
7.390852770787257,7.3
7.910800850660349,7.9
7.979556634010204,7.6000000000000005
7.683811890252922,7.200000000000002
8.538580294884856,8.100000000000001
7.591633583764043,7.6000000000000005
5.692192607743514,5.800000000000001
5.544189710165071,5.700000000000001
4.755201960791402,4.9
5.371646634973404,5.4
5.576041936804908,5.700000000000001
4.198893721820432,4.4
4.75674764039809,4.8
4.740388306497788,4.7
5.448582952268302,5.4
4.591544304395319,4.7
5.117950260257672,5.2
5.128144001753118,5.1000000000000005
4.350767438593681,4.7
3.833128654115753,4.000000000000001
2.2703564564076197,2.0
3.3923559793330527,3.3
3.1249917035284427,3.0000000000000004
3.6873033314523775,3.7
3.8715568625104404,3.8
2.6087885797400743,2.4
2.8177616719056346,2.5
2.4218250161216432,2.3
1.7277502811697465,1.7
1.754312155738884,1.8000000000000005
2.0106172755015987,2.0999999999999996
2.0741060579742046,2.0999999999999996
1.7314461822336817,1.7
2.6898124685181966,2.7
2.2027268424930075,2.0999999999999996
2.1322037852899536,2.0999999999999996
2.1977284432119637,2.0999999999999996
3.158995761681773,2.7999999999999994
1.8301401763994751,1.5999999999999999
1.1584795602665794,0.8000000000000003
0.756162235733371,0.4999999999999999
1.0955083684701457,0.6999999999999998
1.5825256052539352,1.7
1.4741408664091598,1.5000000000000002
1.7409665339909366,1.7
1.0257852786724533,1.0000000000000002
1.2204070503056141,1.0000000000000002
2.054714483999924,1.8000000000000005
2.1880188563634917,2.0
0.6081829054339318,0.4999999999999999
0.7594309175799485,0.6999999999999998
0.9637910952360398,0.8999999999999999
1.1244512985355488,1.0000000000000002
0.7507793636095486,0.6999999999999998
1.1677110172388674,1.1999999999999997
1.2169329873514634,1.3
1.323869402853517,1.3999999999999997
1.2192749810482595,1.1999999999999997
1.219757991846187,1.3999999999999997
1.8366559812309136,2.0
1.7203568164869942,1.5999999999999999
2.1597044472791587,2.0999999999999996
1.6543589315037304,1.5000000000000002
1.4894809800671482,1.3999999999999997
1.5131446405503286,1.3
2.1712374541622323,1.9000000000000001
0.8297595873102052,0.6999999999999998
1.3214525935073118,1.0999999999999999
1.6848844221523298,1.3999999999999997
1.2259264184549785,1.1999999999999997
0.9896682783196633,1.0999999999999999
1.307661456348287,1.3999999999999997
0.9940556687662886,1.0999999999999999
1.573025941253321,2.3
2.0100501353302964,3.3
0.45500121348183137,0.6000000000000002
0.8670998093690431,0.8999999999999999
0.8085886542927343,0.6999999999999998
0.36119499376777814,0.3000000000000001
0.2708611492776064,0.10000000000000003
0.39611614756631175,0.20000000000000007
0.991064468233423,1.0000000000000002
1.1784098842660746,1.1999999999999997
1.564158505159499,1.7
1.4001557586807014,1.9000000000000001
